parameter,mse,rmse,mae,r2,relative_error_pct,meaningful_mse,meaningful_rmse,meaningful_mae,meaningful_r2,meaningful_relative_error_pct,excluded_samples,excluded_samples_pct
midi_f0,0.0010919517371803522,0.03304469212889671,0.026482177898287773,0.9869251847267151,5.252395153045654,0.0010919517371803522,0.03304469212889671,0.026482177898287773,0.9869251847267151,5.252395153045654,0,0.0
cutoff,0.00380537798628211,0.06168774515390396,0.048415280878543854,0.9410071969032288,7.669807434082031,0.00380537798628211,0.06168774515390396,0.048415280878543854,0.9410071969032288,7.669807434082031,0,0.0
attack,0.0017429195577278733,0.0417482890188694,0.030470985919237137,0.9789919257164001,6.166042327880859,0.0017429195577278733,0.0417482890188694,0.030470985919237137,0.9789919257164001,6.166042327880859,0,0.0
decay,0.017196422442793846,0.13113513588905334,0.08614531904459,0.7955244183540344,17.142908096313477,0.00974915362894535,0.09873780608177185,0.06963449716567993,0.8833383917808533,13.87756061553955,781,10.413333333333332
sustain,0.0024127468932420015,0.04911971837282181,0.03841305524110794,0.9711657166481018,7.660727024078369,0.0024127468932420015,0.04911971837282181,0.03841305524110794,0.9711657166481018,7.660727024078369,0,0.0
release,0.0014589319471269846,0.03819596767425537,0.02962462604045868,0.9827635288238525,5.9537434577941895,0.0014589319471269846,0.03819596767425537,0.02962462604045868,0.9827635288238525,5.9537434577941895,0,0.0
alpha,0.0024398493114858866,0.04939483106136322,0.036048125475645065,0.9707309007644653,7.2700629234313965,0.0024398493114858866,0.04939483106136322,0.036048125475645065,0.9707309007644653,7.2700629234313965,0,0.0
noise,0.0049699777737259865,0.07049807161092758,0.05695104971528053,0.9397251605987549,11.414026260375977,0.0049699777737259865,0.07049807161092758,0.05695104971528053,0.9397251605987549,11.414026260375977,0,0.0
sine,0.006391762290149927,0.07994849979877472,0.060195911675691605,0.880854070186615,15.942441940307617,0.006391762290149927,0.07994849979877472,0.060195911675691605,0.880854070186615,15.942441940307617,0,0.0
sqr,0.004498301073908806,0.06706937402486801,0.046306561678647995,0.9148014187812805,12.41666030883789,0.004498301073908806,0.06706937402486801,0.046306561678647995,0.9148014187812805,12.41666030883789,0,0.0
shape,0.011516125872731209,0.10731321573257446,0.07493779808282852,0.8578939437866211,14.892606735229492,0.0076383869163692,0.08739786595106125,0.06305670738220215,0.9059547185897827,12.462900161743164,1562,20.826666666666664
