parameter,mse,rmse,mae,r2,relative_error_pct,meaningful_mse,meaningful_rmse,meaningful_mae,meaningful_r2,meaningful_relative_error_pct,excluded_samples,excluded_samples_pct
midi_f0,0.0014079191023483872,0.037522248923778534,0.030235031619668007,0.9831418395042419,5.996725082397461,0.0014079191023483872,0.037522248923778534,0.030235031619668007,0.9831418395042419,5.996725082397461,0,0.0
cutoff,0.006435100454837084,0.0802190750837326,0.06469246745109558,0.9002399444580078,10.248391151428223,0.006435100454837084,0.0802190750837326,0.06469246745109558,0.9002399444580078,10.248391151428223,0,0.0
attack,0.0014697875594720244,0.03833780810236931,0.028792358934879303,0.9822840690612793,5.826359272003174,0.0014697875594720244,0.03833780810236931,0.028792358934879303,0.9822840690612793,5.826359272003174,0,0.0
decay,0.013756253756582737,0.1172870546579361,0.0761689767241478,0.8364300727844238,15.157617568969727,0.007151260040700436,0.08456512540578842,0.060040540993213654,0.9144256711006165,11.965566635131836,781,10.413333333333332
sustain,0.0022903878707438707,0.047857996076345444,0.036024369299411774,0.9726279973983765,7.184351444244385,0.0022903878707438707,0.047857996076345444,0.036024369299411774,0.9726279973983765,7.184351444244385,0,0.0
release,0.002462025498971343,0.04961880296468735,0.040453825145959854,0.970912516117096,8.130117416381836,0.002462025498971343,0.04961880296468735,0.040453825145959854,0.970912516117096,8.130117416381836,0,0.0
alpha,0.0025406270287930965,0.050404634326696396,0.03702782839536667,0.9695219397544861,7.467645645141602,0.0025406270287930965,0.050404634326696396,0.03702782839536667,0.9695219397544861,7.467645645141602,0,0.0
noise,0.004732847213745117,0.06879568845033646,0.05495857819914818,0.9426010251045227,11.014698028564453,0.004732847213745117,0.06879568845033646,0.05495857819914818,0.9426010251045227,11.014698028564453,0,0.0
sine,0.0063591208308935165,0.07974409312009811,0.06073716655373573,0.8814625144004822,16.085790634155273,0.0063591208308935165,0.07974409312009811,0.06073716655373573,0.8814625144004822,16.085790634155273,0,0.0
sqr,0.004508005455136299,0.06714168190956116,0.047715794295072556,0.914617657661438,12.794533729553223,0.004508005455136299,0.06714168190956116,0.047715794295072556,0.914617657661438,12.794533729553223,0,0.0
shape,0.013329616747796535,0.11545395851135254,0.08616578578948975,0.8355159163475037,17.12397575378418,0.009076717309653759,0.09527181088924408,0.07461075484752655,0.888245701789856,14.746509552001953,1562,20.826666666666664
